Gen,Best,Worst,Avg,Timestamp
0,39.76616,39.76616,39.76616,2017-11-17 14:25:36
1,38.20689,39.76616,39.26114,2017-11-17 14:25:46
2,37.42636,39.32628,38.49899,2017-11-17 14:25:55
3,36.57217,38.89270,37.71498,2017-11-17 14:26:04
4,35.56059,38.10091,36.90180,2017-11-17 14:26:14
5,34.39233,37.65417,36.11976,2017-11-17 14:26:23
6,33.60347,36.83174,35.29462,2017-11-17 14:26:32
7,32.45594,36.41796,34.46372,2017-11-17 14:26:41
8,31.54663,35.87864,33.62290,2017-11-17 14:26:51
9,30.72129,35.07134,32.87775,2017-11-17 14:27:00
10,30.22493,34.55926,32.08944,2017-11-17 14:27:09
11,28.99515,33.62106,31.31097,2017-11-17 14:27:19
12,27.91360,32.82036,30.53937,2017-11-17 14:27:28
13,27.91360,31.77035,29.74603,2017-11-17 14:27:38
14,27.05586,31.13644,29.00571,2017-11-17 14:27:47
15,26.49098,30.83276,28.28582,2017-11-17 14:27:57
16,25.80358,30.37773,27.64101,2017-11-17 14:28:06
17,25.37212,29.14479,26.96183,2017-11-17 14:28:16
18,25.06506,28.51870,26.38986,2017-11-17 14:28:26
19,24.53253,27.84146,25.91600,2017-11-17 14:28:36
20,24.09796,27.63335,25.46281,2017-11-17 14:28:46
21,23.75739,26.70980,25.02756,2017-11-17 14:28:55
22,23.27266,26.22016,24.62212,2017-11-17 14:29:05
23,22.98569,25.61932,24.20716,2017-11-17 14:29:16
24,22.55496,25.34888,23.81973,2017-11-17 14:29:26
25,22.25546,25.23462,23.48818,2017-11-17 14:29:36
26,22.08112,24.81849,23.14744,2017-11-17 14:29:46
27,21.81969,23.81993,22.83829,2017-11-17 14:29:56
28,21.53486,23.96779,22.55018,2017-11-17 14:30:07
29,21.51037,23.60682,22.27604,2017-11-17 14:30:17
30,21.24673,23.18698,22.02576,2017-11-17 14:30:27
31,20.83713,23.16918,21.79307,2017-11-17 14:30:38
32,20.68892,22.47119,21.53342,2017-11-17 14:30:48
33,20.48839,22.41276,21.28306,2017-11-17 14:30:59
34,20.22992,22.28024,21.08462,2017-11-17 14:31:09
35,20.01110,21.86159,20.83014,2017-11-17 14:31:20
36,19.80634,22.38458,20.63149,2017-11-17 14:31:30
37,19.40251,22.21841,20.42222,2017-11-17 14:31:41
38,19.40251,21.34919,20.18819,2017-11-17 14:31:51
39,19.20792,21.71021,19.98012,2017-11-17 14:32:02
40,19.11285,21.55825,19.78284,2017-11-17 14:32:12
41,18.96401,21.73306,19.61525,2017-11-17 14:32:23
42,18.56106,20.79351,19.44217,2017-11-17 14:32:34
43,18.46722,20.73999,19.25987,2017-11-17 14:32:44
44,18.23278,20.48226,19.07158,2017-11-17 14:32:55
45,18.16655,20.33837,18.89125,2017-11-17 14:33:06
46,18.08133,20.43890,18.69659,2017-11-17 14:33:16
47,17.78564,19.54817,18.52910,2017-11-17 14:33:27
48,17.74380,19.98390,18.39189,2017-11-17 14:33:38
49,17.54719,20.05332,18.24743,2017-11-17 14:33:48
50,17.42323,20.40885,18.12629,2017-11-17 14:33:59
51,17.42323,20.34277,18.02105,2017-11-17 14:34:10
52,17.14357,19.39114,17.86147,2017-11-17 14:34:21
53,17.08081,19.78023,17.72746,2017-11-17 14:34:31
54,16.75345,19.83882,17.61428,2017-11-17 14:34:42
55,16.75345,20.71645,17.49545,2017-11-17 14:34:53
