Gen,Best,Worst,Avg,Timestamp
0,34.99805,34.99805,34.99805,2017-12-04 20:33:22
1,32.40145,34.99805,33.85270,2017-12-04 20:33:26
2,30.07359,33.81720,32.34464,2017-12-04 20:33:29
3,28.70753,32.90143,30.80934,2017-12-04 20:33:33
4,27.71457,31.17026,29.42043,2017-12-04 20:33:37
5,25.78849,30.91977,28.17462,2017-12-04 20:33:40
6,24.52123,28.95120,26.85883,2017-12-04 20:33:44
7,23.50704,28.28623,25.78362,2017-12-04 20:33:48
8,22.24329,26.89426,24.79316,2017-12-04 20:33:52
9,21.70412,25.94203,23.78182,2017-12-04 20:33:56
10,20.71882,25.61225,22.82025,2017-12-04 20:34:00
11,19.67379,24.50351,21.84193,2017-12-04 20:34:04
12,18.76645,23.23707,20.93861,2017-12-04 20:34:08
13,17.89891,22.83359,20.14833,2017-12-04 20:34:12
14,16.72444,22.18678,19.31639,2017-12-04 20:34:16
15,15.98648,21.29195,18.50003,2017-12-04 20:34:19
16,14.73832,19.93991,17.87184,2017-12-04 20:34:23
17,14.73832,20.37531,17.17002,2017-12-04 20:34:27
18,14.19206,19.01577,16.46164,2017-12-04 20:34:31
19,13.37434,18.01100,15.91797,2017-12-04 20:34:35
20,13.14560,17.82660,15.41545,2017-12-04 20:34:39
21,13.14560,17.50870,14.95566,2017-12-04 20:34:43
22,12.52329,18.18153,14.45283,2017-12-04 20:34:46
23,12.29743,17.47209,14.06115,2017-12-04 20:34:50
24,11.90851,15.72927,13.62774,2017-12-04 20:34:54
25,11.72724,15.89754,13.30825,2017-12-04 20:34:58
26,11.35874,14.89024,12.97821,2017-12-04 20:35:02
27,11.29598,14.67557,12.75341,2017-12-04 20:35:06
28,11.06350,14.17558,12.51485,2017-12-04 20:35:10
29,10.95667,14.82049,12.35453,2017-12-04 20:35:14
30,10.78821,13.76294,12.12245,2017-12-04 20:35:17
31,10.56014,14.03403,12.04559,2017-12-04 20:35:21
32,10.46492,14.38110,11.88344,2017-12-04 20:35:25
33,10.46492,13.25337,11.75435,2017-12-04 20:35:29
34,10.46492,13.57010,11.63651,2017-12-04 20:35:33
35,10.36742,13.28693,11.48274,2017-12-04 20:35:37
36,10.26317,13.01978,11.42525,2017-12-04 20:35:41
37,10.26317,12.90030,11.41198,2017-12-04 20:35:45
38,9.96621,13.43171,11.34425,2017-12-04 20:35:49
39,9.96621,13.25757,11.26212,2017-12-04 20:35:53
40,9.94824,13.53447,11.24297,2017-12-04 20:35:57
41,9.94824,13.39078,11.12409,2017-12-04 20:36:01
42,9.94824,13.02883,11.10259,2017-12-04 20:36:05
43,9.88795,13.40226,10.92616,2017-12-04 20:36:09
44,9.61905,13.17356,10.91932,2017-12-04 20:36:13
45,9.53892,12.70990,10.82240,2017-12-04 20:36:17
46,9.36295,12.49133,10.71246,2017-12-04 20:36:21
47,9.36295,12.26208,10.66434,2017-12-04 20:36:25
48,9.36295,12.32215,10.67734,2017-12-04 20:36:29
49,9.36295,12.31436,10.56280,2017-12-04 20:36:33
50,9.19015,12.16733,10.41767,2017-12-04 20:36:38
51,9.19015,11.75786,10.36488,2017-12-04 20:36:42
52,9.06373,11.57819,10.31725,2017-12-04 20:36:47
53,9.06373,12.05094,10.21704,2017-12-04 20:36:51
54,8.92954,13.46652,10.27242,2017-12-04 20:36:55
55,8.92954,11.80943,10.23136,2017-12-04 20:36:59
56,8.92954,12.21216,10.26645,2017-12-04 20:37:03
57,8.76353,12.05900,10.14703,2017-12-04 20:37:07
58,8.76353,12.76380,10.09640,2017-12-04 20:37:10
59,8.76353,13.02117,10.06777,2017-12-04 20:37:14
60,8.76353,11.81193,10.00693,2017-12-04 20:37:18
61,8.76353,11.57564,9.97552,2017-12-04 20:37:22
62,8.76353,11.29241,9.89195,2017-12-04 20:37:27
63,8.72133,11.26610,9.85611,2017-12-04 20:37:31
64,8.72133,12.18962,9.88661,2017-12-04 20:37:35
65,8.72133,11.14283,9.82664,2017-12-04 20:37:38
66,8.65661,11.16662,9.78738,2017-12-04 20:37:42
67,8.65661,11.17027,9.75909,2017-12-04 20:37:46
68,8.65661,11.65879,9.75621,2017-12-04 20:37:50
69,8.57603,11.35302,9.73439,2017-12-04 20:37:54
70,8.57603,11.75035,9.77164,2017-12-04 20:37:58
71,8.43585,11.14425,9.72616,2017-12-04 20:38:02
72,8.43585,11.05167,9.69243,2017-12-04 20:38:06
73,8.43585,11.30933,9.65601,2017-12-04 20:38:10
74,8.43585,10.84104,9.56676,2017-12-04 20:38:14
75,8.14366,11.17650,9.53851,2017-12-04 20:38:18
76,8.08501,11.43735,9.50401,2017-12-04 20:38:21
77,8.08501,11.26868,9.50347,2017-12-04 20:38:25
78,8.08501,11.45341,9.52956,2017-12-04 20:38:29
79,8.08501,11.14313,9.41855,2017-12-04 20:38:33
80,8.08501,10.76859,9.37397,2017-12-04 20:38:37
81,8.08501,10.77853,9.31094,2017-12-04 20:38:41
82,8.07590,11.34950,9.27079,2017-12-04 20:38:45
83,8.07590,10.89060,9.25223,2017-12-04 20:38:49
84,8.07590,10.69770,9.22959,2017-12-04 20:38:53
85,8.07590,10.40256,9.23277,2017-12-04 20:38:57
86,7.92382,10.24851,9.17369,2017-12-04 20:39:01
87,7.92382,10.72567,9.19040,2017-12-04 20:39:05
88,7.92382,10.85449,9.17944,2017-12-04 20:39:09
89,7.92382,10.97529,9.13903,2017-12-04 20:39:13
90,7.92382,10.98138,9.10070,2017-12-04 20:39:17
91,7.92382,10.61463,9.12375,2017-12-04 20:39:21
92,7.92382,11.22409,9.10383,2017-12-04 20:39:25
93,7.92382,10.40957,9.08432,2017-12-04 20:39:29
94,7.92382,10.18767,9.11782,2017-12-04 20:39:33
95,7.92382,10.71612,9.09822,2017-12-04 20:39:37
96,7.92382,10.59629,9.08615,2017-12-04 20:39:41
97,7.92382,10.76155,9.05178,2017-12-04 20:39:45
98,7.92382,10.94269,9.07523,2017-12-04 20:39:50
99,7.88244,10.61287,9.06231,2017-12-04 20:39:54
100,7.88244,11.20254,9.04524,2017-12-04 20:39:58
101,7.88244,10.43468,9.08719,2017-12-04 20:40:02
102,7.88244,10.25909,8.99972,2017-12-04 20:40:06
103,7.88244,10.30743,9.00530,2017-12-04 20:40:10
104,7.88244,9.91929,8.96944,2017-12-04 20:40:14
105,7.75376,10.42298,9.02313,2017-12-04 20:40:18
106,7.75376,10.63155,9.00503,2017-12-04 20:40:22
107,7.75376,10.66217,9.02148,2017-12-04 20:40:26
108,7.75376,10.19792,8.94085,2017-12-04 20:40:30
109,7.75376,11.34300,8.95457,2017-12-04 20:40:34
110,7.75376,10.86089,8.93179,2017-12-04 20:40:38
111,7.75376,10.32895,8.91332,2017-12-04 20:40:43
112,7.75376,10.61000,8.91933,2017-12-04 20:40:47
113,7.71418,10.42549,8.89527,2017-12-04 20:40:51
114,7.71418,10.46187,8.88799,2017-12-04 20:40:56
115,7.71418,10.34210,8.85909,2017-12-04 20:41:00
116,7.71418,10.37351,8.88887,2017-12-04 20:41:04
117,7.71418,10.29346,8.80495,2017-12-04 20:41:08
118,7.71418,10.11169,8.78736,2017-12-04 20:41:12
119,7.71418,11.07258,8.79567,2017-12-04 20:41:16
